Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_2:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_3:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_5:Surface Outside Face Temperature [C](TimeStep),SURFACE_6:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep),WINDOW1:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Temperature [C](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/02  07:24:00,9.9,0.0,12.4487727325391,10.8040963980438,0.0,0.0,0.0,0.0,12.4122790496954,0.0,12.0983885070556,7.161288466765771E-03,12.1034557740228,0.0 
 01/02  07:25:00,9.9,0.0,12.443274091059,10.8013568390433,0.0,0.0,0.0,0.0,12.4070227708367,0.0,12.0933245922146,7.171840892033255E-03,12.0983885070556,0.0 
 01/02  07:26:00,9.9,0.0,12.4377848188557,10.7986486537032,0.0,0.0,0.0,0.0,12.4017699971317,0.0,12.088264650634,7.182404713871653E-03,12.0933245922146,0.0 
 01/02  07:27:00,9.9,0.0,12.4322957459371,10.7959409474665,0.0,0.0,0.0,0.0,12.3965209102668,0.0,12.0832086562256,7.192980060036906E-03,12.088264650634,0.0 
 01/02  07:28:00,9.9,0.0,12.426816377457,10.7932630568217,0.0,0.0,0.0,0.0,12.3912753488705,0.0,12.07815662129,7.203566919343607E-03,12.0832086562256,0.0 
 01/02  07:29:00,9.9,0.0,12.421337208477,10.790585639837,0.0,0.0,0.0,0.0,12.3860335029846,0.0,12.0731084741298,7.214165286856318E-03,12.07815662129,0.0 
 01/02  07:30:00,9.9,0.0,12.4158680233369,10.7879366590505,0.0,0.0,0.0,0.0,12.3807952072521,0.0,12.0680643157708,7.224775141270358E-03,12.0731084741298,0.0 
 01/02  07:31:00,9.9,0.0,12.4103990392055,10.7852881467277,0.0,0.0,0.0,0.0,12.375560658225,0.0,12.0630241354053,7.235396496829212E-03,12.0680643157708,0.0 
 01/02  07:32:00,9.9,0.0,12.4049402838488,10.7826668393151,0.0,0.0,0.0,0.0,12.3703296873372,0.0,12.057988060109,7.246029345277710E-03,12.0630241354053,0.0 
 01/02  07:33:00,9.9,0.0,12.3994817337454,10.7800459953903,0.0,0.0,0.0,0.0,12.3651024983312,0.0,12.0529560796005,7.256673706314237E-03,12.057988060109,0.0 
 01/02  07:34:00,9.9,0.0,12.3940336393373,10.7774512493251,0.0,0.0,0.0,0.0,12.3598789196345,0.0,12.0479283173384,7.267329572111061E-03,12.0529560796005,0.0 
